[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2436702
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
Outputs directory created
Dump directory created
dw =  2.3968449809785852e-05
dt =  0.0625
T Target =  0.0004997501249375312
itern =  51  , diff =  35911.00238027632  , x =  0.01
itern =  52  , diff =  35193.85008278733  , x =  0.01
itern =  53  , diff =  34491.02390813783  , x =  0.01
itern =  54  , diff =  33802.22830938965  , x =  0.01
itern =  55  , diff =  33127.1745639227  , x =  0.01
itern =  56  , diff =  32465.580524870653  , x =  0.01
itern =  57  , diff =  31817.170395487457  , x =  0.01
itern =  58  , diff =  31181.674523409456  , x =  0.01
itern =  59  , diff =  30558.82921235564  , x =  0.01
itern =  60  , diff =  29948.37654929726  , x =  0.01
itern =  61  , diff =  29350.064245492576  , x =  0.01
itern =  62  , diff =  28763.64549010323  , x =  0.01
itern =  63  , diff =  28188.87881534557  , x =  0.01
itern =  64  , diff =  27625.527972345048  , x =  0.01
itern =  65  , diff =  27073.36181701615  , x =  0.01
itern =  66  , diff =  26532.154205427207  , x =  0.01
itern =  67  , diff =  26001.683898214935  , x =  0.01
itern =  68  , diff =  25481.734473691096  , x =  0.01
itern =  69  , diff =  24972.094249347454  , x =  0.01
itern =  70  , diff =  24472.556211506395  , x =  0.01
itern =  71  , diff =  23982.91795288384  , x =  0.01
itern =  72  , diff =  23502.98161784037  , x =  0.01
itern =  73  , diff =  23032.553855086277  , x =  0.01
itern =  74  , diff =  22571.445777571396  , x =  0.01
itern =  75  , diff =  22119.47292925036  , x =  0.01
itern =  76  , diff =  21676.455258336515  , x =  0.01
itern =  77  , diff =  21242.217096569955  , x =  0.01
